fecha,tmed,prec,tmin,tmax,sol
16-05-2023,"20,20","0,00","15,50","24,80","12,20"
19-05-2023,"18,00","0,00","13,90","22,00","7,00"
20-05-2023,"18,00","0,00","13,70","22,20","12,50"
21-05-2023,"18,20","0,00","13,60","22,70","12,00"
29-05-2023,"20,20","0,00","17,00","23,50","6,00"
30-05-2023,"19,60","0,00","15,80","23,50","9,20"
31-05-2023,"22,00","0,00","16,80","27,30","12,00"
01-06-2023,"20,90","0,00","17,70","24,10","8,00"
03-06-2023,"21,20","0,00","17,60","24,80","10,00"
04-06-2023,"22,00","0,00","18,70","25,20","7,80"
05-06-2023,"21,40","0,00","17,70","25,20","9,80"
06-06-2023,"22,20","0,00","18,40","26,00","12,00"
09-06-2023,"26,30","0,00","20,00","32,60","12,30"
10-06-2023,"25,20","0,00","21,40","29,00","11,10"
12-06-2023,"23,00","0,00","19,50","26,60","6,80"
14-06-2023,"23,20","0,00","17,70","28,60","12,40"
15-06-2023,"24,30","0,00","20,00","28,60","13,50"
16-06-2023,"24,50","0,00","20,20","28,80","13,00"
19-06-2023,"23,40","0,00","19,00","27,70","8,50"
20-06-2023,"24,80","0,00","21,30","28,20","9,50"
22-06-2023,"26,80","0,00","21,00","32,60","13,50"
23-06-2023,"25,40","0,00","20,70","30,20","13,50"
24-06-2023,"26,80","0,00","22,20","31,50","13,40"
26-06-2023,"27,80","0,00","24,20","31,50","9,00"
27-06-2023,"26,40","0,00","22,80","30,00","11,50"
28-06-2023,"26,20","0,00","23,20","29,20","7,60"
29-06-2023,"26,10","0,00","22,80","29,40","7,20"
30-06-2023,"26,20","0,00","24,40","28,00","11,30"
01-07-2023,"24,80","0,00","21,00","28,50","13,20"
04-07-2023,"24,80","0,00","20,50","29,20","12,00"
05-07-2023,"26,30","0,00","23,00","29,60","8,90"
06-07-2023,"26,50","0,00","23,80","29,20","8,20"
08-07-2023,"26,60","0,00","22,50","30,80","13,00"
09-07-2023,"27,40","0,00","24,20","30,60","12,80"
10-07-2023,"27,60","0,00","24,20","31,00","9,50"
12-07-2023,"28,10","0,00","24,80","31,40","10,00"
13-07-2023,"28,20","0,00","25,40","31,00","9,00"
14-07-2023,"27,90","0,00","25,20","30,60","11,00"
15-07-2023,"28,40","0,00","25,20","31,50","13,10"
16-07-2023,"28,20","0,00","26,20","30,20","6,20"
17-07-2023,"28,20","0,00","25,40","31,00","10,20"
18-07-2023,"28,00","0,00","25,00","31,00","12,40"
19-07-2023,"28,80","0,00","25,30","32,40","11,20"
21-07-2023,"28,40","0,00","25,70","31,00","12,00"
23-07-2023,"29,00","0,00","26,50","31,50","9,40"
24-07-2023,"30,60","0,00","26,20","35,10","8,00"
25-07-2023,"27,50","0,00","25,00","30,00","10,30"
